Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
F_bin_119699	0	1358	18	50778	569	0	65342	5338	2	6425	36	2	2	57084	66	4815	0	29979	21	0	272	8	0	0	0	24	45040	22508	4	2	0	187453	151	247	82330	0	28172	0	417	0	4434	10229	15289	1767	0	42	549	2324
F_bin_152197	2500	281	150	18859	4081	0	14663	2382	245	61669	53	685	6	40823	10	9977	0	6975	24	4	3427	4	2	232	352	34	2132	3427	21667	0	199	23514	12	73	16595	0	2230	0	373	8	5796	54624	19320	189853	40	121	305	785
F_bin_233818	0	174	71	21161	3449	10	40979	2289	50	23731	96	36	37	7200	59	37862	0	53516	40	14	1028	65	22	18	58	111	3299	2412	350	18	32	24572	48	28	30116	52	8465	0	40	0	3097	11227	60818	17109	0	40	226	4630
F_bin_220008	0	294	61	37007	8954	0	79927	3974	4	29730	79	76	0	5142	28	96264	0	145391	24	3	1469	7	0	12	0	89	8328	4841	22	0	4	42332	29	46	63014	0	26094	0	38	0	4495	26666	21981	23757	0	35	456	10048
F_bin_249838	26	9	0	876	160	0	122069	8070	18	1498	2	6	0	167	64	1114	0	3018	2	0	48	3	0	4	0	100	315	158	34	0	2	1136	6	4	1609	2	16299	0	4	0	107	1089	900	993	0	0	12	198
M_bin_25473	109	5060	6034	1755961	77245	0	914484	49174	70	980704	3527	3682	20	419828	568	638302	0	506988	2317	11	70644	93	2	60	14	177	174770	111281	268	5	62	968304	1056	1431	1406819	14	431513	33	3648	6	408486	2296137	1508328	1879137	0	1380	12077	47579
F_bin_254998	294	3356	3705	1113393	44898	30	540660	28618	95	549900	2483	2849	91	281185	481	381207	0	321832	1739	50	38106	909	31	320	105	11500	108674	63761	441	230	1068	580369	776	931	1088881	216	261382	146	2420	57	307248	1305491	1139823	1500051	0	923	9082	28976
M_bin_24763	2	948	1560	270820	16080	2	454623	19770	35	350929	725	877	4	93662	338	204243	0	372004	453	4	19403	24	0	31	8	255	36436	15376	159	0	9	220453	163	284	151284	143	198012	4	574	2	80665	630571	261022	347708	0	244	1351	36240
F_bin_188779	46	937	1304	235697	11860	0	398854	14452	40	310649	588	733	2	84175	262	183898	0	314319	344	2	13362	60	0	20	2	225	32393	11307	178	0	543	198366	183	221	129232	20	170030	0	407	2	71391	544437	241119	315945	0	147	958	25148
M_bin_57002	11	1595	2276	570064	27418	1	387662	19860	30	398289	660	942	6	125458	236	227667	0	460490	613	4	31436	20	2	42	4	214	71825	23384	126	4	22	189138	234	422	251742	0	158985	4	956	2	108437	1007937	301136	514081	0	586	2164	41432
F_bin_116764	0	4	2	1140	109	0	1013	58	48	1287	0	4	0	421	0	1177	0	564	3	4	73	2	0	4	12	17	172	120	122	0	18	1122	1	0	800838	130908	431	10	0	4	312	2459	1148	1301	0	8	5590	76
D_bin_113409	387402	519739	450577	403227	386782	134152	168127	370737	339345	187878	209482	134445	431692	266019	340640	242120	536	39087	381244	241152	388993	595235	219024	523010	683982	158607	386296	444420	594632	367621	486984	294468	377687	119535	96746	513699	372918	396322	231392	250970	332639	262696	186693	200618	1	282493	279626	373303
F_bin_120655	135561	165	54	45670	1215	24	13142	1512	88941	14344	488	306	2	147005	4	5291	0	42217	2	4	455	9410	793	1029	280	307	7704	3647	271946	7	9917	40108	10	50	13283	2481	1679	0	1081	688	1619	23603	131784	62838	2	6	106	792
D_bin_92702	538145	449	568	124594	12618	66	59437	7930	150154	145696	1149	412	0	313130	9	54618	0	202465	35	0	5167	41884	1091	20925	2137	1135	22189	20708	331855	68	85783	245758	58	138	95799	29565	8988	0	3673	4509	15221	159710	234233	112396	2	146	737	6636
F_bin_120636	359234	470	551	110866	13873	40	53601	7671	123864	146644	1050	426	2	312695	25	56086	0	184990	22	7	5122	36701	1042	14102	1560	886	18759	19668	194587	51	72934	256101	35	116	100810	17159	7065	4	3366	4485	12648	139409	235187	119121	0	195	727	5704
D_bin_71950	53823	11	359	46064	913	2	7183	508	2790	138280	24	63	0	35540	6	9599	0	1452	4	12	5346	57	25	8628	47935	20	538	407	192496	4	5627	7131	4	1	6317	280	892	0	362	164	849	152770	11900	39453	0	18	57	108
F_bin_122296	26917	40	6	111251	241	0	2848	241	9100	3897	78	4	4	22394	0	2386	0	4253	21	0	185	2194	51	84752	12118	10	2214	900	8606	16	2771	14418	0	2	1362	103	601	0	128	71	46194	4897	32641	6005	0	68	19	299
F_bin_212578	31631	46	19	4486	227	23	760	144	53992	5759	178	362	34	86452	11	1400	0	8272	53	2	269	10383	169	9911	2359	13	5511	3535	121821	34	1053	63671	24	8	15446	9985	391	0	637	124	444	8124	59562	112234	0	0	99	262
D_bin_72949	572	13	24	413	7	0	525	24	9746	1562	86	18	0	692	13	104	12	338876	0	2	38	217	36	1027	25	21979048	1168	8	14003	0	182	239	15	2	195	623	874	888	2	0	629	2795	5097	2462	0	2	0	44615
F_bin_135175	0	8	3	169	85	0	418845	24268	0	3252	1	4	0	137	186	691	0	2081	0	0	60	22	0	2	0	10	99	5459	0	0	0	54973	33	0	515	0	72152	1	0	0	50	1492	1322	1040	0	0	9	130
F_bin_115099	0	1377	96	18529	17048	0	76694	8605	24	92405	484	1430	2	21093	46	88777	0	508786	2	0	3574	8	14	54	4	1560	10042	5520	664	0	38	27419	40	356	43497	162	9032	0	474	8	1867	53037	193487	608056	0	35	606	28410
F_bin_117901	1	79	74	8623	10082	0	70965	6504	14	46873	216	183	4	8175	26	50440	0	29668	35	0	2089	2	0	162	3	461	1344	7943	152	4	57	36597	32	26	13513	0	10213	2	159	0	4963	41097	82813	64419	0	47	135	2723
F_bin_212632	152	1313	277	23260	206	0	2423	169	114	123798	26	4	0	412	4	1902	0	4956	4	0	5439	28	0	35	0	145	52946	40227	365	0	54	273311	233	431	2365	56	477	0	10	0	155	98787	6370	1816	0	28	33	365
F_bin_147199	0	48	63	6926	11041	0	11545	815	6	27833	212	34	2	6992	4	65823	0	12843	14	0	1521	12	0	8	0	58	826	6648	36	0	6	32410	22	10	21668	0	925	0	104	0	2547	21006	87577	15001	0	8	237	1031
F_bin_119750	13	108	1126	1423	4393	0	388604	18947	93	55616	72	12	0	29033	338	64812	0	4552	6	2	10741	241	0	604	5	11148	5724	15382	54	60	289	150894	104	145	4437	0	33849	0	524	0	518	33663	27256	9517	0	2	53	528
F_bin_233803	269	21	13	488	482	0	29936	2124	58	12689	85	1	2	2567	14	2725	0	9196	4	3	541	15	0	11	0	39	172	2014	303	0	10	12373	16	0	1464	0	1670	2	30	0	199	5492	30944	1573	0	12	17	660
D_bin_44667	104	657	20	90035	4209	0	760640	37459	34	6063	110	4	2	6320	234	42852	0	5546	42	0	345	22	2	569	0	10	43427	4240	74	0	18	33734	21	214	8977	0	105084	0	51	6	9897	6963	55717	4206	0	42	80	587
F_bin_169882	4	25	6	287	9712	0	7954	405	45	2502	87	2	0	22	10	89690	0	170590	18	0	138	0	0	56	0	50368	1103	1139	0	0	4	10120	8	6	890	0	1936	6	0	0	2400	1657	37353	1703	0	0	6	18260
F_bin_268216	0	271	5	1983	147	0	136773	6426	2	1480	20	0	0	156	60	1376	0	193290	0	0	58	2	0	0	0	560	18341	817	16	0	0	9645	6	46	19208	0	41351	1	0	0	125	1692	15226	273	0	2	175	16793
F_bin_249816	0	8	0	332	111	0	196913	10540	0	627	2	4	0	479	57	916	0	3509	0	0	13	6	0	6	0	15	599	57	0	0	0	614	2	2	442	0	40633	0	2	0	121	295	826	384	0	0	9	380
