Genome	fox29_D_9	fox1_K_18	fox8_K_22	fox16_F_35	fox30_M_16	fox5_K_11	fox10_F_39	fox10_M_40	fox14_D_1	fox8_F_23	fox14_M_4	fox5_M_9	fox24_K_6	fox29_F_11	fox10_K_38	fox30_F_15	Control2	fox22_F_31	fox24_M_8	fox16_K_34	fox8_M_24	fox26_D_41	fox14_K_2	fox24_D_5	fox16_D_33	fox22_D_29	fox1_D_17	fox26_M_44	fox5_D_10	fox30_K_14	fox30_D_13	fox26_F_43	fox26_K_42	fox1_M_20	fox3_F_27	fox3_D_25	fox10_D_37	fox22_K_30	fox29_M_12	fox29_K_10	fox24_F_7	fox8_D_21	fox14_F_3	fox5_F_12	Control1	fox16_M_36	fox3_M_28	fox22_M_32
M_bin_57342	0	43161	50726	2050731	2213617	91	2507544	1975302	0	1181397	273298	738564	86	447603	6097	2521797	0	2478866	1694944	94	2205051	1565	0	565	0	8267	1689771	2532700	1785	0	119	2532399	24889	40268	1067537	0	928126	987	51045	930	2406456	1669586	1853738	2527535	0	889287	185117	1378353
F_bin_314711	0	2291	376	909903	137935	0	137885	53254	800	146188	539015	4757	0	237501	418	301510	0	20739	782035	513	469253	0	0	463	0	117	52978	61377	683	0	175	185508	300	5594	11370	0	14049	0	79851	481	1057532	192113	1045760	32707	0	614032	1139	8294
M_bin_60518	67	2028	1072	1671875	446475	0	285249	163088	1064	150620	776135	10050	0	634349	0	761575	0	5027	1311025	472	623278	0	0	923	0	0	107551	121478	961	0	248	450732	109	12106	5545	0	18343	0	273715	922	1649205	202830	1518117	21029	0	1494585	389	1050
M_bin_35289	149	720	17509	156264	369736	0	1543427	340813	2143	1490477	41948	16940	0	273991	1003	1230341	0	395894	958285	0	1859710	462	908	1911	0	1671	67704	1131571	1849	155	1247	1753295	5072	969	1524895	0	494865	214	64159	0	1814004	1269714	616070	684135	0	24375	244579	28230
F_bin_241092	215	5765	28786	1284528	248701	0	135172	18712	1649	1503571	4221	1943	0	1325510	0	698300	0	602292	1308991	1076	1483187	71	0	60	0	197	197951	317982	1333	0	1284	1210754	2054	4464	923362	154	13123	0	1066241	0	1500105	1156006	30958	261572	0	93120	123339	67548
F_bin_55	24008	49286	31597	141738	619146	29058	34322	12904	1004411	180561	25237	87516	449	486149	0	1462997	0	236973	201578	0	77279	1849	274263	29734	0	689	1195968	20080	1337860	10484	131029	51609	0	5912	25577	0	12782	0	16353	2426	980035	259153	1459167	1464336	0	13424	1026	19019
M_bin_28975	150	14085	222056	3233933	203423	450	885488	423443	339	947928	24137	76604	0	84906	1226	582161	0	3365397	1693389	1202	3011329	485	150	1056	0	3526	580616	728131	643	0	720	696139	1105	485138	3179669	0	400005	852	40321	240	3338176	1364814	119712	1200186	0	1492452	2847307	3244877
F_bin_207931	198	4213	15688	3126902	283543	264	852701	349673	72	159439	1166	6228	170	40143	2215	838676	0	431457	15135	0	289995	309	0	387	123	381	108353	824011	171	0	411	761138	2265	32944	80856	0	380547	0	2694	0	149648	240454	31449	134967	0	1577095	30400	126968
D_bin_60660	0	20569	693875	1455122	2075089	0	2243183	2010375	150	2271581	351659	107895	0	2261963	20896	2219925	0	933314	384009	806	2248980	1243	0	937	0	2375	449860	2244975	1048	0	374	2257794	25257	24127	2213133	0	2048740	263	1053177	0	2140480	2283091	2250375	2252751	0	15328	654582	178170
F_bin_8527	0	115601	5791	1064052	65608	0	1420041	296483	0	913123	5780	3564	0	1186631	2996	587459	0	1528896	1515	0	90309	300	0	271	0	4759	1369264	238539	86	0	279	1105300	2442	22487	1341213	0	1046374	0	19919	0	237740	1066645	1262773	1117947	0	2426	29177	921207
F_bin_119699	0	96961	2360	1245817	51936	0	1367384	438514	117	297890	2977	289	168	1347279	6389	362087	0	1165349	2004	0	26358	947	0	0	0	2018	1260080	1063321	107	256	0	1442080	14831	21144	1393657	0	1134713	0	37962	0	275766	352511	801679	112262	0	5455	44086	192675
F_bin_152197	8055	20610	11885	859188	325535	0	858649	204433	6338	1990257	4857	63674	706	1872541	921	637029	0	147893	2600	300	305183	293	163	11025	10817	1827	136097	270313	11443	0	8344	1215358	1328	6770	901118	0	163641	0	34987	589	501830	1632498	932337	2430038	66	10012	28520	47299
F_bin_233818	0	9959	5111	962179	294963	805	1631616	208038	1599	1293634	7771	3540	1111	550446	3374	1587586	0	1751627	2797	946	100666	1800	1054	1132	1248	6437	232666	208083	818	1319	1446	1306410	3117	2844	1394211	287	624082	0	3895	0	279849	644847	1750219	1056567	0	3226	20001	381925
F_bin_220008	0	20077	5143	864329	377915	0	1721427	170978	105	931362	6031	5933	0	158947	2117	2098121	0	2211103	2368	397	81271	804	0	239	0	3756	348450	184466	236	0	84	1228276	2831	4666	1807735	0	800252	0	3425	0	229219	709607	360316	627182	0	2624	36133	341014
F_bin_249838	118	767	0	13361	8998	0	1516337	612507	820	23064	240	608	0	9625	6411	29271	0	23102	113	0	4043	357	0	139	0	1263	11341	5645	476	0	100	19472	405	381	30451	60	928282	0	539	0	5495	19590	21341	20066	0	0	741	7578
M_bin_25473	1421	366693	500773	2140389	1969663	0	2139189	1816320	2648	2137926	282188	291543	1649	2107468	59296	2137968	0	2135520	219720	1115	1903436	8877	186	1887	1229	15985	2081042	2042598	2340	437	3734	2139556	105599	122349	2136284	75	2130712	3186	316581	667	2117930	2141851	2138798	2135349	0	130903	821927	1765160
F_bin_254998	2370	229731	300953	1559765	1320789	1451	1562941	1177279	3453	1549998	198547	224690	4059	1525674	45651	1557658	0	1559252	153187	3268	1211322	13048	1532	8763	3197	18156	1487731	1404107	2834	6610	7660	1558623	67467	80728	1559124	993	1550269	6867	214015	3364	1535655	1563595	1558451	1558768	0	83520	608833	1167137
