"kegg","n_mags_human","n_mags_wild","n_mags_NA","absent_human","absent_wild","absent_NA","p_value","odds_ratio","conf_low","conf_high","log_or","log2_or","se_log_or","se_log2_or","p_adj","prop_g1","prop_g2","diff_prop","species","contrast","n_mags_domestic","absent_domestic","neg_log10_padj","sig","ko","pathway_map","pathway_name","class","category"
"K00633",34,39,28,7,3,NA,0.194353786453832,2.64576716415585,0.550345383910414,17.0951371108425,0.972961066414988,1.40368610549494,0.87653144660274,1.264567571197,1,0.928571428571429,0.829268292682927,-0.0993031358885018,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00640",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00645",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00648",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00651",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00655",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00656",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00661",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00662",3,0,4,38,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,NA,0.0731707317073171,NA,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00675",1,1,0,40,41,0,1,0.975895449270408,0.0121439942759497,78.4265522144073,-0.0243998199561502,-0.0352014992493214,2.23803139691318,3.22879679768045,1,0.0238095238095238,0.024390243902439,0.000580720092915217,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00687",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00688",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
"K00691",41,42,28,0,0,NA,1,0,0,Inf,-Inf,-Inf,Inf,Inf,1,1,1,0,"lactococcus_lactis","HumanvsWild",NA,NA,0,FALSE,NA,NA,NA,NA,NA
