effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,-0.33668596687962404,0.9462543914497692,-0.35580914595681074,0.72198349926556,enterococcus_hirae,K02881,-0.33668596687962404,0.9462543914497692,0.7141330661287667,0.11176636937408735,4.562965040329134,0.886442382132442
fixed,cond,host_type_2wild,-0.71572559869321,0.5060833170291137,-1.4142446008589453,0.15729009666854987,enterococcus_hirae,K02886,-0.71572559869321,0.5060833170291137,0.48883728338636667,0.18129152644471064,1.318108431843561,0.3259505617709708
fixed,cond,host_type_2wild,-0.0510964969459804,1.4447386718249238,-0.035367293713705186,0.9717868642231877,enterococcus_hirae,K02890,-0.0510964969459804,1.4447386718249238,0.9501869759670841,0.0559786845510643,16.12855494083428,0.9999418545457155
fixed,cond,host_type_2wild,0.6476026943260765,0.6063365396966738,1.0680581689007997,0.2854942735937582,enterococcus_hirae,K02892,0.6476026943260765,0.6063365396966738,1.9109541920978657,0.5822723860436975,6.271542343109426,0.4935177392776523
fixed,cond,host_type_2wild,0.08951449612118953,1.0321301337989115,0.08672791655807766,0.9308877858143048,enterococcus_hirae,K02895,0.08951449612118953,1.0321301337989115,1.0936431867816172,0.1446467716556446,8.268801344846171,0.9999418545457155
fixed,cond,host_type_2wild,-2.276000642646729,1.4700920184579875,-1.5482028431350012,0.12157346711140053,enterococcus_hirae,K02904,-2.276000642646729,1.4700920184579875,0.1026940969121301,0.005756756912721988,1.831947692161875,0.27156670575533626
fixed,cond,host_type_2wild,1.99188591213863,1.1647054157493968,1.7102057612198938,0.08722783073319505,enterococcus_hirae,K02906,1.99188591213863,1.1647054157493968,7.32934323386451,0.7475629952171606,71.85919124339547,0.20412499164774897
fixed,cond,host_type_2wild,-1.0231275167764198,0.8811466869840777,-1.1611318885829365,0.24558826834768874,enterococcus_hirae,K02907,-1.0231275167764198,0.8811466869840777,0.35946893516579187,0.0639166733227997,2.0216620895871156,0.4377324575730825
fixed,cond,host_type_2wild,0.1619666665165651,1.6473668687371814,0.09831851640959828,0.9216793754464406,enterococcus_hirae,K02926,0.1619666665165651,1.6473668687371814,1.175821046456378,0.04656656911793856,29.68986462773739,0.9999418545457155
fixed,cond,host_type_2wild,0.5745819977537638,1.0432344712457213,0.5507697584682552,0.5817915175020995,enterococcus_hirae,K02931,0.5745819977537638,1.0432344712457213,1.776387837595649,0.22988925962754223,13.726407900352775,0.760974456352556
fixed,cond,host_type_2wild,-0.2651571917444578,0.9992412520539131,-0.26535853198557846,0.7907332780393741,enterococcus_hirae,K02933,-0.2651571917444578,0.9992412520539131,0.7670853610122637,0.10821123897138768,5.437697199224381,0.9379732677432575
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02935,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02946,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02948,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02952,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-3.7257747989129513,1.5796240734932925,-2.3586465042112894,0.018341718283697246,enterococcus_hirae,K02961,-3.7257747989129513,1.5796240734932925,0.024094424858657502,0.001089716200713897,0.5327454147136358,0.06933572625925112
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02965,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-1.9168748377828977,0.8879922032743617,-2.1586617885997854,0.030876415317444162,enterococcus_hirae,K02982,-1.9168748377828977,0.8879922032743617,0.14706584934417324,0.025801063777961184,0.8382741203793941,0.10089338249220284
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02988,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-1.1890089729398847,0.8708394555628997,-1.3653595566261112,0.17214006870820497,enterococcus_hirae,K02994,-1.1890089729398847,0.8708394555628997,0.30452290501413964,0.05525180298836422,1.6783922815655468,0.34428013741640995
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K03076,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-1.9168748377828977,0.8879922032743617,-2.1586617885997854,0.030876415317444162,enterococcus_hirae,K03205,-1.9168748377828977,0.8879922032743617,0.14706584934417324,0.025801063777961184,0.8382741203793941,0.10089338249220284
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K07497,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K07729,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-0.15886962828712758,0.9117372687784977,-0.17424935200902072,0.8616695014515094,enterococcus_hirae,K15342,-0.15886962828712758,0.9117372687784977,0.8531075728149365,0.1428622106559341,5.09436699497105,0.9771099316043386
fixed,cond,host_type_2wild,-1.1890089729398847,0.8708394555628997,-1.3653595566261112,0.17214006870820497,enterococcus_hirae,K18831,-1.1890089729398847,0.8708394555628997,0.30452290501413964,0.05525180298836422,1.6783922815655468,0.34428013741640995
fixed,cond,host_type_2wild,-2.898894485057659,1.1686107554712315,-2.480633069211062,0.01311493011300587,enterococcus_hirae,K00571,-2.898894485057659,1.1686107554712315,0.055084082684429,0.005575509555175116,0.544211454604836,0.050691415268247414
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K02315,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K06904,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K06909,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K07317,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K07451,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K07741,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.451464071769152,1.1830062880217624,-2.072232494950234,0.03824376435797646,enterococcus_hirae,K00986,-2.451464071769152,1.1830062880217624,0.0861673389358158,0.008479053963651933,0.8756649422339433,0.10441154713606272
fixed,cond,host_type_2wild,-2.789425870921995,1.0872132210427712,-2.5656658849738716,0.01029779678628652,enterococcus_hirae,K07486,-2.789425870921995,1.0872132210427712,0.06145648774481186,0.007296476021483207,0.517633426712811,0.04167578934685368
