effect,component,term,estimate,std.error,statistic,p.value,species,annotation,logOR,SE,OR,CI_low,CI_high,p_adj
fixed,cond,host_type_2wild,-15.852349550991583,1511.5434385393366,-0.010487524967400425,0.9916323191387558,lactococcus_lactis,K03205,-15.852349550991583,1511.5434385393366,1.304403828463589e-7,0,Inf,0.9998684398443228
fixed,cond,host_type_2wild,-44.06888758174624,NA,NA,NA,lactococcus_lactis,K07317,-44.06888758174624,NA,7.263154787151173e-20,NA,NA,NA
fixed,cond,host_type_2wild,-124.83900789668172,NA,NA,NA,lactococcus_lactis,K12988,-124.83900789668172,NA,6.068868735850449e-55,NA,NA,NA
fixed,cond,host_type_2wild,-11.522709439449654,191.34531352788147,-0.06021944947071122,0.9519808553874275,lactococcus_lactis,K00986,-11.522709439449654,191.34531352788147,9.90263732882902e-6,1.3162301042896065e-168,7450234252106002e142,0.9998684398443228
fixed,cond,host_type_2wild,-0.458033262829438,1.6693929631206725,-0.27437114744584495,0.7837994135290637,lactococcus_lactis,K06400,-0.458033262829438,1.6693929631206725,0.6325264362384773,0.02399179287770548,16.67610647440751,0.9781026294879492
fixed,cond,host_type_2wild,1438558.8262579546,NA,NA,NA,lactococcus_lactis,K07486,1438558.8262579546,NA,Inf,NA,NA,NA
fixed,cond,host_type_2wild,376.9081642299051,NA,NA,NA,lactococcus_lactis,K06904,376.9081642299051,NA,4888053035118715e148,NA,NA,NA
fixed,cond,host_type_2wild,0.12332410986958874,1.0544153511122876,0.11695970638088293,0.9068919839167499,lactococcus_lactis,K07451,0.12332410986958874,1.0544153511122876,1.1312510111542255,0.1432262146071461,8.935018311749804,0.9998684398443228
fixed,cond,host_type_2wild,-20.559555303056747,10124.154332486496,-0.0020307429764365626,0.9983797026458044,lactococcus_lactis,K16566,-20.559555303056747,10124.154332486496,1.1778733113346868e-9,0,Inf,0.9998684398443228
fixed,cond,host_type_2wild,0.5742788515831414,1.034113548981611,0.5553344235250451,0.5786659374694969,lactococcus_lactis,K01792,0.5742788515831414,1.034113548981611,1.7758494140397845,0.23396501006992318,13.479114421438247,0.8466196228002
fixed,cond,host_type_2wild,-1.8906265172836871,1.1494176949920212,-1.6448559348973752,0.0999995239379464,lactococcus_lactis,K07493,-1.8906265172836871,1.1494176949920212,0.15097718938051424,0.0158674537830476,1.436532415654006,0.30305978173030695
fixed,cond,host_type_2wild,-0.49002057539782995,1.6806831058003904,-0.29156036239471084,0.7706227854255658,lactococcus_lactis,K22721,-0.49002057539782995,1.6806831058003904,0.6126137892823105,0.022727958445609552,16.512510603051044,0.967594784536743
fixed,cond,host_type_2wild,-0.45769237064168483,1.1136341061483606,-0.41098990064579627,0.6810799401925718,lactococcus_lactis,K07492,-0.45769237064168483,1.1136341061483606,0.6327420963154676,0.07133164517407203,5.612692087399355,0.9137322351445482
fixed,cond,host_type_2wild,-1.986219018858302,1.4175613566632617,-1.4011520626758476,0.16116860576058833,lactococcus_lactis,K07487,-1.986219018858302,1.4175613566632617,0.1372132465903919,0.008525963190957202,2.2082519732016292,0.40515953377959274
fixed,cond,host_type_2wild,1.4644832213929022,1.330172886421172,1.100972088923788,0.27090880494909625,parabacteroides_goldsteinii,K01792,1.4644832213929022,1.330172886421172,4.325307436290494,0.31897082565945856,58.65202367568024,0.5224669809732571
fixed,cond,host_type_2wild,-2.170040487443571,1.350476304937279,-1.6068704645242595,0.10808278668375357,parabacteroides_goldsteinii,K02039,-2.170040487443571,1.350476304937279,0.11417299424459533,0.008091233841659747,1.6110611644493575,0.3147116435791648
fixed,cond,host_type_2wild,-44.06888758174624,NA,NA,NA,parabacteroides_goldsteinii,K02315,-44.06888758174624,NA,7.263154787151173e-20,NA,NA,NA
